percentage,n_points,sample_path,bottleneck_h0,bottleneck_h1,wasserstein_h0,wasserstein_h1,normalized_bottleneck_h0,normalized_bottleneck_h1,normalized_wasserstein_h0,normalized_wasserstein_h1
1,1,counties/UT/Salt_Lake/samples/fps__pct01.csv,0.0007411603249999991,0.0004796022421676285,0.004898419970624737,0.0012616990314117523,0.09194677198418826,1.0055302000773114,0.19485792325876874,0.6036125633150885
2,2,counties/UT/Salt_Lake/samples/fps__pct02.csv,0.02350013901249928,0.0004796022421676285,0.028398558983124014,0.0012616990314117523,2.91537721393681,1.0055302000773114,1.1296875850127321,0.6036125633150885
3,2,counties/UT/Salt_Lake/samples/fps__pct03.csv,0.02350013901249928,0.0004796022421676285,0.028398558983124014,0.0012616990314117523,2.91537721393681,1.0055302000773114,1.1296875850127321,0.6036125633150885
4,3,counties/UT/Salt_Lake/samples/fps__pct04.csv,0.011669731724499342,0.0004796022421676285,0.027990234172124314,0.0012616990314117523,1.4477220728041402,1.0055302000773114,1.1134445259929717,0.6036125633150885
5,4,counties/UT/Salt_Lake/samples/fps__pct05.csv,0.008060754162500166,0.00047696453287107005,0.025138418231624587,0.002090246472807657,1.0,1.0,1.0,1.0
6,5,counties/UT/Salt_Lake/samples/fps__pct06.csv,0.006440774467999701,0.00047696453287107005,0.021223039286624577,0.0018769009399665975,0.7990287680479262,1.0,0.84424720326777,0.8979328344209618
7,6,counties/UT/Salt_Lake/samples/fps__pct07.csv,0.005304285703624456,0.0005055971953574217,0.019559218435749294,0.0020789821062552156,0.6580383915317486,1.0600310096727705,0.7780608252886588,0.9946109864559125
8,6,counties/UT/Salt_Lake/samples/fps__pct08.csv,0.005304285703624456,0.0005055971953574217,0.019559218435749294,0.0020789821062552156,0.6580383915317486,1.0600310096727705,0.7780608252886588,0.9946109864559125
9,7,counties/UT/Salt_Lake/samples/fps__pct09.csv,0.002661849089125098,0.000505394222823214,0.016550037380249592,0.0023835029563539865,0.33022333090226447,1.059605459091502,0.6583563543162531,1.1402975617284128
10,8,counties/UT/Salt_Lake/samples/fps__pct10.csv,0.0022824137836251574,0.0013076771324401957,0.01554836113549956,0.003496922779300927,0.2831513947222566,2.741665348927901,0.6185099234262655,1.6729715011090518
11,9,counties/UT/Salt_Lake/samples/fps__pct11.csv,0.0022824137836251574,0.0005030650506937997,0.01376486151599935,0.002244076744432331,0.2831513947222566,1.0547221355550664,0.5475627539159527,1.0735943218304043
12,10,counties/UT/Salt_Lake/samples/fps__pct12.csv,0.0014743577749994662,0.00047664023398425517,0.012777763380874508,0.0022947753530261007,0.1829056866488249,0.999320077564546,0.5082962365865904,1.0978491689277756
13,10,counties/UT/Salt_Lake/samples/fps__pct13.csv,0.0014743577749994662,0.00047664023398425517,0.012777763380874508,0.0022947753530261007,0.1829056866488249,0.999320077564546,0.5082962365865904,1.0978491689277756
14,11,counties/UT/Salt_Lake/samples/fps__pct14.csv,0.0014743577749994662,0.00047664023398425517,0.011315844553124977,0.0021434204972140877,0.1829056866488249,0.999320077564546,0.4501414706709525,1.0254391169166792
15,12,counties/UT/Salt_Lake/samples/fps__pct15.csv,0.0014743577749994662,0.00047664023398425517,0.010170179871498661,0.002159871017492588,0.1829056866488249,0.999320077564546,0.4045672157170331,1.0333092511293225
16,13,counties/UT/Salt_Lake/samples/fps__pct16.csv,0.0014743577749994662,0.0004796022421676285,0.009887694721374416,0.002594429755561961,0.1829056866488249,1.0055302000773114,0.3933300269837788,1.2412075749502764
17,14,counties/UT/Salt_Lake/samples/fps__pct17.csv,0.0014743577749994662,0.0005973992841035373,0.009925603898874385,0.0029719544312299118,0.1829056866488249,1.2525025299208619,0.3948380445985179,1.4218200915023806
18,14,counties/UT/Salt_Lake/samples/fps__pct18.csv,0.0014743577749994662,0.0005973992841035373,0.009925603898874385,0.0029719544312299118,0.1829056866488249,1.2525025299208619,0.3948380445985179,1.4218200915023806
19,15,counties/UT/Salt_Lake/samples/fps__pct19.csv,0.000818759299999982,0.0005973992841035373,0.008818635185749555,0.0029719544312299118,0.10157353561394698,1.2525025299208619,0.35080310560891026,1.4218200915023806
20,16,counties/UT/Salt_Lake/samples/fps__pct20.csv,0.000818759299999982,0.0006142274329515242,0.008292971780999886,0.002571665771198604,0.10157353561394698,1.2877842913270832,0.3298923466301144,1.2303170007239843
21,17,counties/UT/Salt_Lake/samples/fps__pct21.csv,0.000818759299999982,0.0006142274329515242,0.00819196419562478,0.0026147038650495428,0.10157353561394698,1.2877842913270832,0.3258742901062542,1.2509069619610098
22,18,counties/UT/Salt_Lake/samples/fps__pct22.csv,0.000818759299999982,0.0006142274329515242,0.007378202403125028,0.0022651905014409784,0.10157353561394698,1.2877842913270832,0.2935030492031163,1.0836954066944713
23,18,counties/UT/Salt_Lake/samples/fps__pct23.csv,0.000818759299999982,0.0006142274329515242,0.007378202403125028,0.0022651905014409784,0.10157353561394698,1.2877842913270832,0.2935030492031163,1.0836954066944713
24,19,counties/UT/Salt_Lake/samples/fps__pct24.csv,0.0006621069162503711,0.0006142274329515242,0.0070115500626250485,0.0022825996857129193,0.08213957439994778,1.2877842913270832,0.2789177106539023,1.0920241777262227
25,20,counties/UT/Salt_Lake/samples/fps__pct25.csv,0.0006621069162503711,0.0006142274329515242,0.006446471982499526,0.0021703371633764526,0.08213957439994778,1.2877842913270832,0.2564390457307989,1.0383163859433362
26,21,counties/UT/Salt_Lake/samples/fps__pct26.csv,0.0006621069162503711,0.0006142274329515242,0.006353391930998699,0.0022697246770109073,0.08213957439994778,1.2877842913270832,0.252736344524892,1.0858646128760938
27,22,counties/UT/Salt_Lake/samples/fps__pct27.csv,0.00040689551675011774,0.0006142274329515242,0.005978389488124337,0.0022706019995282177,0.050478591524730596,1.2877842913270832,0.23781884098830905,1.0862843349178357
28,22,counties/UT/Salt_Lake/samples/fps__pct28.csv,0.00040689551675011774,0.0006142274329515242,0.005978389488124337,0.0022706019995282177,0.050478591524730596,1.2877842913270832,0.23781884098830905,1.0862843349178357
29,23,counties/UT/Salt_Lake/samples/fps__pct29.csv,0.00040689551675011774,0.0006142274329515242,0.005784399156249183,0.002172851632874848,0.050478591524730596,1.2877842913270832,0.23010195402717518,1.0395193395333107
30,24,counties/UT/Salt_Lake/samples/fps__pct30.csv,0.00038651807499979454,0.0005469148375595763,0.00550364900374942,0.002017052728361915,0.0479506094848959,1.1466572457021973,0.21893378306618075,0.964983199159558
31,25,counties/UT/Salt_Lake/samples/fps__pct31.csv,0.00038651807499979454,0.0005048444654396089,0.005341116327499495,0.0020632219354496826,0.0479506094848959,1.0584528421866437,0.21246827379060287,0.9870711240470724
32,26,counties/UT/Salt_Lake/samples/fps__pct32.csv,0.00038651807499979454,0.0003334709045768405,0.005231328095374413,0.0018418974033470802,0.0479506094848959,0.6991524140579698,0.20810092533162278,0.8811867056390771
33,26,counties/UT/Salt_Lake/samples/fps__pct33.csv,0.00038651807499979454,0.0003334709045768405,0.005231328095374413,0.0018418974033470802,0.0479506094848959,0.6991524140579698,0.20810092533162278,0.8811867056390771
34,27,counties/UT/Salt_Lake/samples/fps__pct34.csv,0.00038651807499979454,0.0002140085126948627,0.004952657857624637,0.0016926773497800854,0.0479506094848959,0.44868852492374334,0.19701549286001233,0.8097979696654866
35,28,counties/UT/Salt_Lake/samples/fps__pct35.csv,0.00038651807499979454,0.0002140085126948627,0.004654376607499679,0.0016290407849911496,0.0479506094848959,0.44868852492374334,0.18514993921313588,0.7793534428516424
