birth,death
0.0,0.0012145103522499367
0.0,0.0009363892524995416
0.0,0.0009354449812500699
0.0,0.00047041820500006305
0.0,0.0004594256000000213
0.0,0.00038493699624991135
0.0,0.0003361241162501271
0.0,0.00029473456400001016
0.0,0.0002348143412497437
0.0,0.00023064829624977202
0.0,0.00021787034125022838
0.0,0.0002034037225000992
0.0,0.0001999350865000788
0.0,0.00019442282425021927
0.0,0.00019002917700019074
0.0,0.00018443722499996625
0.0,0.00018284684625006136
0.0,0.00018204929124989314
0.0,0.00018142483024991945
0.0,0.0001810664329999769
0.0,0.00017967003400023827
0.0,0.00017750944999984095
0.0,0.00017515766825006916
0.0,0.00017409694325000723
0.0,0.00017346289725036885
0.0,0.0001727357282499647
0.0,0.00017245083024995377
0.0,0.0001642088500001994
0.0,0.00015738664924999657
0.0,0.00015571950925004596
0.0,0.00015482927024995495
0.0,0.00014793124999983438
0.0,0.00014366783525003785
0.0,0.0001401276792499713
0.0,0.0001396043645000502
0.0,0.0001363917804999414
0.0,0.00013573561850006898
0.0,0.0001348474119999466
0.0,0.00013401232999996852
0.0,0.0001325102739998873
0.0,0.00013093605324985202
0.0,0.00012995582900004015
0.0,0.00012801807400028646
0.0,0.00012566810825006804
0.0,0.00012497320124999717
0.0,0.00012264821424982876
0.0,0.00012049271125001995
0.0,0.00011768955699994891
0.0,0.00011716213000002282
0.0,0.00011677171625002204
0.0,0.0001137929125000152
0.0,0.00011031486249992401
0.0,0.00011004703424952123
0.0,0.00010725122500002753
0.0,0.0001054715682500141
0.0,0.00010529045000009566
0.0,0.00010339892425024333
0.0,0.00010324738124992589
0.0,0.00010168132500016612
0.0,0.00010019746824979751
0.0,0.00010002888400001902
0.0,9.911542624997744e-05
0.0,9.79402249999276e-05
0.0,9.630995050001957e-05
0.0,9.595932025002577e-05
0.0,9.56984124999826e-05
0.0,9.534772250007772e-05
0.0,9.272770224997031e-05
0.0,9.175862125020303e-05
0.0,9.07117542501814e-05
0.0,8.872424524998524e-05
0.0,8.8676689000243e-05
0.0,8.794762450001231e-05
0.0,8.407316824998725e-05
0.0,8.239805224999497e-05
0.0,8.223410000001608e-05
0.0,8.193053700002127e-05
0.0,8.083330000001259e-05
0.0,8.083059925014308e-05
0.0,7.930050050000166e-05
0.0,7.928132499987765e-05
0.0,7.509502325012575e-05
0.0,7.471958849997914e-05
0.0,7.42999562499478e-05
0.0,7.334642250002584e-05
0.0,7.310432049994681e-05
0.0,7.262671725004434e-05
0.0,7.074832724977652e-05
0.0,7.026881650001571e-05
0.0,7.022421625006107e-05
0.0,6.965044999993414e-05
0.0,6.937492500000123e-05
0.0,6.880880499988e-05
0.0,6.859802500000563e-05
0.0,6.747862500019298e-05
0.0,6.566947299994495e-05
0.0,6.484872499989405e-05
0.0,6.368690000000548e-05
0.0,6.368436850018644e-05
0.0,6.341162500006592e-05
0.0,6.258405025001674e-05
0.0,6.225440000006647e-05
0.0,6.203726799996706e-05
0.0,6.201833624999286e-05
0.0,6.05970000000147e-05
0.0,6.0332454499896084e-05
0.0,5.96976565000144e-05
0.0,5.8960077250024165e-05
0.0,5.5470399999890485e-05
0.0,5.524036225006094e-05
0.0,5.509636325001098e-05
0.0,5.444316249992474e-05
0.0,5.417324999998032e-05
0.0,5.3769280500025435e-05
0.0,5.1285124999983896e-05
0.0,5.096328924997284e-05
0.0,5.006935249995191e-05
0.0,4.856319025019021e-05
0.0,4.749978249980799e-05
0.0,4.721267199998726e-05
0.0,4.715720650000764e-05
0.0,4.710755825014535e-05
0.0,4.686551524996817e-05
0.0,4.6143456250023454e-05
0.0,4.613274024993676e-05
0.0,4.610965000007003e-05
0.0,4.458901450001392e-05
0.0,4.3754211999939754e-05
0.0,4.2787124999997815e-05
0.0,4.277882900021808e-05
0.0,4.272117050005394e-05
0.0,4.259532500002399e-05
0.0,4.181301924982415e-05
0.0,4.1015821249990755e-05
0.0,4.0739096249984576e-05
0.0,4.020649999998479e-05
0.0,3.9880824999957704e-05
0.0,3.985295399975967e-05
0.0,3.895617999997951e-05
0.0,3.856692500006553e-05
0.0,3.8326777000031493e-05
0.0,3.8106268249982114e-05
0.0,3.756710250000412e-05
0.0,3.7538834499962546e-05
0.0,3.740956924999798e-05
0.0,3.736873625002421e-05
0.0,3.7267324999731995e-05
0.0,3.667791249998791e-05
0.0,3.634580000006621e-05
0.0,3.590792525000054e-05
0.0,3.554493649991852e-05
0.0,3.49108250000747e-05
0.0,3.4737131250000116e-05
0.0,3.406180000004034e-05
0.0,3.395905225017557e-05
0.0,3.2707362500126274e-05
0.0,3.1991695249978945e-05
