birth,death
0.0,0.0012865618284998678
0.0,0.0011649969999999823
0.0,0.000724584606500092
0.0,0.000719045912500158
0.0,0.0007089876572498623
0.0,0.000510508384250017
0.0,0.00045165331250010565
0.0,0.00043993876524999994
0.0,0.0004375226952498902
0.0,0.00043719512825005584
0.0,0.0004319822142501001
0.0,0.00043132065249950333
0.0,0.00040726577125001245
0.0,0.00038511766850009044
0.0,0.0003614888424999603
0.0,0.0003573911812500293
0.0,0.0003473801932495739
0.0,0.00033720566849997796
0.0,0.00033714187250005506
0.0,0.0003313056610000711
0.0,0.0003245002604998284
0.0,0.00032193697924977533
0.0,0.0003163355290000497
0.0,0.0003031352089999937
0.0,0.00030229639249986884
0.0,0.00029954471425007814
0.0,0.0002889384422500273
0.0,0.00028475969000010945
0.0,0.00025874202500002246
0.0,0.0002504292650000379
0.0,0.00024726866124981617
0.0,0.00024501443525009605
0.0,0.00023625968824987615
0.0,0.00022002421624998678
0.0,0.00021914215699989347
0.0,0.00021886938225005952
0.0,0.000213943954250029
0.0,0.00021387026124996362
0.0,0.00020117284449991515
0.0,0.00019858864924992463
0.0,0.00019454805000004825
0.0,0.00018895628050008664
0.0,0.0001846937689999618
0.0,0.00017885021125006425
0.0,0.00017761619825024425
0.0,0.00017707507300007198
0.0,0.0001735911652501145
0.0,0.0001734153992497528
0.0,0.00017274410525000227
0.0,0.0001674520249997684
0.0,0.00016691392824997903
0.0,0.00016618990625005923
0.0,0.0001626230702499824
0.0,0.0001574421872500383
0.0,0.00015617342500003084
0.0,0.00014994012499965347
0.0,0.0001498464702503056
0.0,0.00014334769024991318
0.0,0.00014288496799996507
0.0,0.00014081875299973485
0.0,0.00013955649725010138
0.0,0.00013920762499994549
0.0,0.00013792418324997665
0.0,0.00013763751625000794
0.0,0.00013447232499992024
0.0,0.00013262985850001461
0.0,0.00013219649425023206
0.0,0.000130935906250177
0.0,0.0001295937942500517
0.0,0.00012075065600000431
0.0,0.00011865692500024328
0.0,0.0001173219612499899
0.0,0.00011661573724994201
0.0,0.00011438231299997929
0.0,0.00011352943924991101
0.0,0.0001130492412500503
0.0,0.00011078415924997028
0.0,0.00011075262499989067
0.0,0.00011040282500002551
0.0,0.00010932825125002
0.0,0.00010929016249983808
0.0,0.00010910227049995426
0.0,0.00010801463124956819
0.0,0.00010773582424996537
0.0,0.0001069438262499685
0.0,0.0001068316250000595
0.0,0.00010665485124978705
0.0,0.0001059082000000514
0.0,0.00010558706000007181
0.0,0.00010452421799974143
0.0,0.00010420719424997933
0.0,0.00010184004725004618
0.0,0.00010109085425008367
0.0,0.00010034674625002674
0.0,9.929813200010049e-05
0.0,9.910569999993925e-05
0.0,9.870925250002433e-05
0.0,9.778417650017766e-05
0.0,9.721559250014373e-05
0.0,9.717934824991797e-05
0.0,9.6686899999994e-05
0.0,9.558656425002611e-05
0.0,9.442393250015606e-05
0.0,9.412765700000285e-05
0.0,9.405466849975478e-05
0.0,9.36549364999052e-05
0.0,9.293956025024824e-05
0.0,9.155568824976603e-05
0.0,9.139915025000929e-05
